TransactionID|TransactionDate|AccountNumber|CustomerName|TransactionType|Merchant|Category|Amount|Currency|BalanceAfter|PaymentMethod|Status
TXN100050|2025-02-30|ACCT17728||C|Target|Electronics|0|USD|5708.86|Wire|Pending
TXN100001|2025-11-23|ACCT29953|Sarah Miller|C|Apple|Bills|170.49|USD|3858.95|Zelle|Failed
TXN100002|2025-08-30|ACCT56857|David Wilson|C|Amazon|Electronics|4956.26|USD|5816.96|Credit Card|Completed
TXN100003|2025-12-24|ACCT81863|Emily Johnson|C|Apple|Groceries|1738.51|USD|7558.16|Debit Card|Reversed
TXN100004|2025-07-12|ACCT28754|Sarah Miller|D|Amazon|Electronics|4660.99|USD|2335.65|ACH|Reversed
TXN100005|2025-01-01|ACCT60812|David Wilson|C|Starbucks|Groceries|1800.82|USD|1646.34|Zelle|Reversed
TXN100006|2025-12-08|ACCT86946|Jessica Davis|C|Starbucks|Groceries|-66.52|USD|7972.87|Zelle|Reversed
TXN100007|2025-03-24|ACCT13552|Sarah Miller|D|Apple|Dining|296.46|USD|19227.91|Zelle|Pending
TXN100008|2025-12-18|ACCT40520|David Wilson|C|Shell|Groceries|173.03|USD|6806.62|Debit Card|Failed
TXN100009|2025-03-28|ACCT64482|David Wilson|C|Amazon|Electronics|3441.01|USD|7739.65|Zelle|Pending
TXN100010|2025-04-03|ACCT16301|John Smith|C|Amazon|Bills|1237.91|USD|19560.09|ACH|Completed
TXN100011|2025-12-02|ACCT57810|Michael Brown|D|Walmart|Fuel|3684.25|USD|19225.95|Wire|Reversed
TXN100012|2025-12-03|ACCT15099|Michael Brown|D|Shell|Fuel|151.26|USD|19702.43|Wire|Failed
TXN100013|2025-05-05|ACCT19921|Michael Brown|C|Amazon|Retail|2333.16|USD|6862.39|Credit Card|Failed
TXN100014|2025-10-13|ACCT55196|Emily Johnson|D|Target|Electronics|4240.11|USD|19745.48|Wire|Completed
TXN100015|2025-11-30|ACCT58742|John Smith|D|Costco|Retail|4678.41|USD|19051.74|Zelle|Failed
TXN100016|2025-07-26|ACCT17987|Michael Brown|D|Amazon|Electronics|3180.92|USD|1137.23|ACH|Failed
TXN100017|2025-10-06|ACCT23699|Emily Johnson|D|Starbucks|Fuel|3074.57|USD|7637.49|ACH|Completed
TXN100018|2025-12-27|ACCT77276|David Wilson|C|Target|Electronics|1895.74|USD|2053.03|Credit Card|Completed
TXN100019|2025-04-08|ACCT54444|John Smith|C|Costco|Groceries|315.42|USD|9881.6|Debit Card|Failed
TXN100020|2025-09-15|ACCT16958|David Wilson|D|Walmart|Bills|2919.59|USD|16977.9|Zelle|Reversed
TXN100021|2025-09-22|ACCT70886|Sarah Miller|D|Walmart|Bills|4284.76|USD|11607.21|ACH|Reversed
TXN100022|2025-04-30|ACCT64243|Emily Johnson|C|Amazon|Bills|1837.32|USD|12885.8|Credit Card|Completed
TXN100023|2025-03-29|ACCT83094|Jessica Davis|D|Shell|Bills|457.56|USD|4304.14|Wire|Reversed
TXN100024|2025-03-09|ACCT34820|David Wilson|C|Walmart|Retail|1200.68|USD|3307.85|ACH|Completed
TXN100025|2025-06-30|ACCT29903|Michael Brown|C|Shell|Groceries|3098.48|USD|1358.41|Wire|Completed
TXN100026|2025-04-24|ACCT68951|John Smith|C|Walmart|Fuel|3133.25|USD|3796.01|Wire|Reversed
TXN100027|2025-10-02|ACCT75527|Sarah Miller|C|Apple|Dining|2599.9|USD|11088.32|Credit Card|Completed
TXN100028|2025-12-05|ACCT97367|Michael Brown|C|Target|Dining|525.42|USD|13756.75|ACH|Completed
TXN100029|2025-10-08|ACCT23232|Emily Johnson|C|Apple|Fuel|309.04|USD|13988.82|Zelle|Pending
TXN100030|2025-10-04|ACCT92240|Emily Johnson|D|Starbucks|Electronics|2137.76|USD|5222.81|Zelle|Reversed
TXN100031|2025-12-09|ACCT48072|David Wilson|C|Shell|Retail|3986.59|USD|13642.49|Credit Card|Failed
TXN100032|2025-11-28|ACCT45631|David Wilson|C|Walmart|Groceries|163.72|USD|14504.91|ACH|Completed
TXN100033|2025-01-12|ACCT92318|Emily Johnson|D|Shell|Bills|168.53|USD|18810.8|Credit Card|Failed
TXN100034|2025-06-05|ACCT19878|Sarah Miller|D|Shell|Electronics|4242.05|USD|1006.58|Wire|Pending
TXN100035|2025-10-30|ACCT42186|Emily Johnson|C|Walmart|Fuel|4684.38|USD|11693.88|Wire|Pending
TXN100036|2025-02-07|ACCT45888|John Smith|D|Shell|Electronics|1168.32|USD|13142.26|Credit Card|Completed
TXN100037|2025-05-22|ACCT28452|Jessica Davis|D|Starbucks|Fuel|173.56|USD|19041.4|Wire|Failed
TXN100038|2025-02-04|ACCT39394|David Wilson|D|Starbucks|Bills|3289.91|USD|8550.36|Credit Card|Reversed
TXN100039|2025-11-25|ACCT39118|Sarah Miller|C|Target|Electronics|320.03|USD|13497.06|Debit Card|Reversed
TXN100040|2025-11-24|ACCT51216|Jessica Davis|C|Starbucks|Dining|1201.12|USD|18788.28|Debit Card|Completed
TXN100041|2025-04-04|ACCT17583|Jessica Davis|C|Shell|Bills|3196.62|USD|12532.52|Wire|Completed
TXN100042|2025-10-19|ACCT43881|David Wilson|C|Apple|Groceries|1947.06|USD|9965.11|Zelle|Pending
TXN100043|2025-07-03|ACCT41190|Emily Johnson|D|Apple|Retail|2282.69|USD|3707.8|Credit Card|Pending
TXN100044|2025-02-10|ACCT46449|Michael Brown|C|Apple|Electronics|857.27|USD|3258.73|Credit Card|Reversed
TXN100045|2025-03-04|ACCT67824|Sarah Miller|D|Starbucks|Dining|-480.65|USD|12708.95|Debit Card|Completed
TXN100046|2025-05-22|ACCT64724|Michael Brown|C|Starbucks|Fuel|3318.13|USD|13189.35|Zelle|Reversed
TXN100047|2025-12-12|ACCT81645|Jessica Davis|C|Amazon|Electronics|561.98|USD|12356.0|Credit Card|Completed
TXN100048|2025-08-22|ACCT99730|Jessica Davis|C|Starbucks|Dining|4434.89|USD|15234.67|Debit Card|Pending
TXN100049|2025-05-30|ACCT82298|John Smith|D|Amazon|Groceries|1766.68|USD|2835.24|Zelle|Reversed
TXN100050|2025-08-25|ACCT72524|John Smith|D|Walmart|Dining|2708.98|USD|9276.07|Debit Card|Failed
TXN100051|2025-03-08|ACCT10074|David Wilson|C|Amazon|Bills|2244.3|USD|19491.09|Wire|Reversed
TXN100052|2025-01-31|ACCT64214|Sarah Miller|D|Costco|Dining|75.25|USD|12807.78|Credit Card|Reversed
TXN100053|2025-05-15|ACCT48579|Emily Johnson|D|Amazon|Retail|354.32|USD|7610.64|ACH|Pending
TXN100054|2025-11-02|ACCT51805|Michael Brown|C|Walmart|Bills|958.34|USD|7411.15|Debit Card|Completed
TXN100055|2025-09-16|ACCT85305|Sarah Miller|C|Costco|Electronics|1071.63|USD|7535.13|ACH|Reversed
TXN100056|2025-11-29|ACCT16820|Jessica Davis|C|Costco|Retail|1851.74|USD|1081.14|Zelle|Completed
TXN100057|2025-09-04|ACCT58729|Emily Johnson|D|Target|Bills|-249.91|USD|9290.83|Wire|Completed
TXN100058|2025-07-30|ACCT25152|Emily Johnson|C|Apple|Fuel|4480.89|USD|4316.48|Zelle|Completed
TXN100059|2025-07-18|ACCT22134|Michael Brown|D|Shell|Dining|3599.1|USD|10150.59|Wire|Pending
TXN100060|2025-08-22|ACCT26215|John Smith|D|Apple|Groceries|216.8|USD|16316.88|Debit Card|Completed
TXN100061|2025-04-17|ACCT92179|Emily Johnson|C|Target|Groceries|-498.49|USD|18249.44|Credit Card|Failed
TXN100062|2025-06-22|ACCT87003|David Wilson|D|Apple|Electronics|2538.75|USD|14234.1|Wire|Reversed
TXN100063|2025-10-29|ACCT25788|Jessica Davis|C|Shell|Dining|253.51|USD|19806.61|ACH|Failed
TXN100064|2025-03-29|ACCT90224|David Wilson|C|Shell|Fuel|4709.35|USD|12168.22|Wire|Reversed
TXN100065|2025-08-24|ACCT72489|Emily Johnson|D|Amazon|Bills|545.8|USD|5266.31|Zelle|Pending
TXN100066|2025-10-02|ACCT54010|Sarah Miller|C|Shell|Dining|2454.66|USD|15029.38|Wire|Pending
TXN100067|2025-10-31|ACCT14672|John Smith|D|Amazon|Electronics|125.37|USD|16194.62|Credit Card|Failed
TXN100068|2025-12-20|ACCT85542|David Wilson|C|Costco|Retail|3433.81|USD|10329.51|Zelle|Reversed
TXN100069|2025-10-26|ACCT45281|Jessica Davis|C|Starbucks|Bills|1716.46|USD|16081.94|Debit Card|Reversed
TXN100070|2025-09-26|ACCT50662|Jessica Davis|C|Apple|Electronics|4783.72|USD|15622.65|ACH|Pending
TXN100071|2025-02-27|ACCT71080|Emily Johnson|C|Apple|Groceries|4185.74|USD|18730.66|Zelle|Failed
TXN100072|2025-10-17|ACCT55220|Emily Johnson|C|Apple|Dining|4876.26|USD|19801.33|Credit Card|Completed
TXN100073|2025-02-25|ACCT45303|Jessica Davis|C|Walmart|Fuel|1024.41|USD|9934.84|Zelle|Completed
TXN100074|2025-11-28|ACCT98728|Emily Johnson|C|Costco|Bills|4310.62|USD|9482.56|Credit Card|Reversed
TXN100075|2025-12-29|ACCT87723|Sarah Miller|C|Costco|Groceries|2963.28|USD|16702.13|ACH|Completed
TXN100076|2025-07-23|ACCT80882|Sarah Miller|C|Apple|Groceries|2676.41|USD|1141.21|Wire|Completed
TXN100077|2025-05-29|ACCT61942|David Wilson|C|Apple|Retail|2736.07|USD|3513.79|Wire|Pending
TXN100078|2025-08-01|ACCT86443|John Smith|D|Starbucks|Groceries|1838.43|USD|14631.26|Credit Card|Reversed
TXN100079|2025-04-19|ACCT78138|Michael Brown|D|Starbucks|Fuel|1376.74|USD|7498.2|ACH|Pending
TXN100080|2025-02-16|ACCT75244|David Wilson|C|Shell|Dining|9.46|USD|1086.59|Credit Card|Completed
TXN100081|2025-10-19|ACCT41121|Jessica Davis|D|Amazon|Bills|430.22|USD|3888.19|Credit Card|Completed
TXN100082|2025-07-04|ACCT10805|Sarah Miller|D|Amazon|Bills|-367.51|USD|15793.5|Zelle|Pending
TXN100083|2025-11-09|ACCT15218|David Wilson|C|Shell|Groceries|990.67|USD|14555.36|Debit Card|Pending
TXN100084|2025-11-12|ACCT95959|Michael Brown|C|Costco|Dining|4075.17|USD|17249.89|Wire|Pending
TXN100085|2025-01-06|ACCT87870|Michael Brown|D|Starbucks|Groceries|4955.11|USD|11079.78|Credit Card|Pending
TXN100086|2025-08-04|ACCT77273|Michael Brown|C|Apple|Fuel|690.66|USD|9343.78|Zelle|Completed
TXN100087|2025-01-30|ACCT54697|David Wilson|C|Amazon|Retail|4411.2|USD|18763.28|Wire|Reversed
TXN100088|2026-01-19|ACCT66449|John Smith|C|Apple|Groceries|3164.81|USD|1385.66|Debit Card|Completed
TXN100089|2026-01-21|ACCT14084|Michael Brown|C|Apple|Dining|1574.8|USD|17701.37|Credit Card|Failed
TXN100090|2025-07-10|ACCT27532|Michael Brown|D|Apple|Groceries|2135.09|USD|10656.68|Credit Card|Pending
TXN100091|2025-02-11|ACCT21846|Jessica Davis|C|Costco|Electronics|1145.16|USD|13055.16|Credit Card|Pending
TXN100092|2025-02-17|ACCT37523|Jessica Davis|C|Shell|Electronics|1849.8|USD|16046.13|Wire|Pending
TXN100093|2026-01-12|ACCT29171|Sarah Miller|C|Apple|Bills|2837.9|USD|9655.73|ACH|Failed
TXN100094|2025-04-18|ACCT97056|Emily Johnson|D|Apple|Retail|1952.59|USD|12257.24|Wire|Pending
TXN100095|2025-03-20|ACCT17976|David Wilson|D|Shell|Electronics|4755.53|USD|11644.18|Wire|Pending
TXN100096|2026-01-28|ACCT73084|John Smith|C|Shell|Dining|3664.93|USD|18520.52|Credit Card|Failed
TXN100097|2025-03-06|ACCT18361|Michael Brown|C|Starbucks|Electronics|2331.22|USD|11694.8|Zelle|Pending
TXN100098|2026-01-24|ACCT80552|Emily Johnson|D|Apple|Retail|4237.08|USD|16107.09|ACH|Failed
TXN100099|2025-03-26|ACCT33398|David Wilson|C|Starbucks|Bills|4228.67|USD|6310.87|Zelle|Failed
TXN100100|2025-10-23|ACCT45927|Sarah Miller|C|Costco|Fuel|2670.9|USD|16721.34|Zelle|Completed
TXN100101|2025-04-11|ACCT32273|David Wilson|C|Walmart|Fuel|2863.74|USD|10620.33|Zelle|Completed
TXN100102|2025-04-13|ACCT75905|David Wilson|D|Amazon|Dining|2509.73|USD|8439.02|Wire|Completed
TXN100103|2025-02-14|ACCT27488|David Wilson|C|Apple|Dining|2708.05|USD|18010.3|Debit Card|Pending
TXN100104|2025-05-03|ACCT12168|Jessica Davis|D|Walmart|Fuel|-79.32|USD|4494.91|Wire|Failed
TXN100105|2025-06-30|ACCT21184|David Wilson|C|Amazon|Retail|2197.44|USD|15265.52|ACH|Reversed
TXN100106|2025-08-24|ACCT78786|Michael Brown|D|Apple|Electronics|2659.11|USD|18936.77|Credit Card|Failed
TXN100107|2025-03-04|ACCT10019|Emily Johnson|D|Shell|Bills|1302.39|USD|14883.18|Wire|Reversed
TXN100108|2025-11-12|ACCT66490|Jessica Davis|D|Shell|Retail|1681.33|USD|19423.01|Wire|Pending
TXN100109|2025-07-09|ACCT40890|Michael Brown|C|Target|Retail|974.92|USD|7652.55|Wire|Completed
TXN100110|2025-10-09|ACCT80271|John Smith|C|Amazon|Electronics|2544.1|USD|3068.23|Debit Card|Reversed
TXN100111|2025-07-09|ACCT26688|Sarah Miller|C|Amazon|Dining|2430.76|USD|15476.91|Zelle|Failed
TXN100112|2025-09-06|ACCT53278|Emily Johnson|D|Amazon|Dining|800.84|USD|12438.11|Credit Card|Reversed
TXN100113|2025-04-14|ACCT38561|Jessica Davis|D|Amazon|Bills|2220.63|USD|4367.07|ACH|Pending
TXN100114|2025-01-25|ACCT65392|David Wilson|D|Target|Retail|-290.74|USD|8166.43|Debit Card|Completed
TXN100115|2025-06-11|ACCT97515|Jessica Davis|D|Target|Electronics|4582.11|USD|7327.81|ACH|Failed
TXN100116|2025-07-04|ACCT41988|Emily Johnson|D|Starbucks|Bills|2807.08|USD|10182.45|Wire|Reversed
TXN100117|2025-07-21|ACCT30673|Jessica Davis|C|Walmart|Dining|1753.99|USD|4180.67|Zelle|Failed
TXN100118|2025-11-21|ACCT12105|Jessica Davis|C|Apple|Retail|3018.21|USD|7983.68|Credit Card|Reversed
TXN100119|2025-02-23|ACCT92788|Jessica Davis|C|Costco|Fuel|4754.77|USD|15565.62|Debit Card|Completed
TXN100120|2025-07-08|ACCT66392|Jessica Davis|C|Amazon|Dining|1689.44|USD|13453.71|Credit Card|Failed
TXN100121|2025-06-19|ACCT42803|David Wilson|D|Apple|Fuel|2005.65|USD|18207.29|ACH|Failed
TXN100122|2025-01-24|ACCT67663|Emily Johnson|C|Starbucks|Dining|-61.24|USD|3830.6|ACH|Pending
TXN100123|2025-09-13|ACCT98878|Michael Brown|C|Amazon|Bills|1559.12|USD|2725.42|Credit Card|Pending
TXN100124|2025-04-08|ACCT30304|David Wilson|D|Shell|Bills|4828.38|USD|10672.83|Credit Card|Completed
TXN100125|2025-07-08|ACCT75252|John Smith|C|Apple|Electronics|1381.75|USD|9665.86|Wire|Pending
TXN100126|2025-10-18|ACCT10565|Sarah Miller|C|Walmart|Dining|2780.0|USD|15937.29|Wire|Reversed
